timestamp,name,value,min,max
2015-12-09 14:16:58.782000,Salinity,1.0317,1.023,1.027
2015-12-09 14:16:58.782000,Temperature,76.7,72,78
2015-12-09 16:41:59.187000,pH,8.01,8.1,8.4
2015-12-09 16:41:59.187000,Salinity,1.0317,1.023,1.027
2015-12-09 16:41:59.187000,Temperature,76.44,72,78
2015-12-09 18:01:59.604000,pH,8.04,8.1,8.4
2015-12-09 18:01:59.604000,Salinity,1.0317,1.023,1.027
2015-12-09 18:01:59.604000,Temperature,76.36,72,78
2015-12-09 19:41:59.736000,pH,8.06,8.1,8.4
2015-12-09 19:41:59.736000,Salinity,1.0317,1.023,1.027
2015-12-09 19:41:59.736000,Temperature,76.44,72,78
2015-12-09 14:21:58.725000,pH,8.01,8.1,8.4
2015-12-09 14:21:58.725000,Salinity,1.0317,1.023,1.027
2015-12-09 14:21:58.725000,Temperature,76.66,72,78
2015-12-09 14:26:58.885000,pH,8.01,8.1,8.4
2015-12-09 14:26:58.885000,Salinity,1.0317,1.023,1.027
2015-12-09 14:26:58.885000,Temperature,76.66,72,78
2015-12-09 14:46:59.018000,pH,8.01,8.1,8.4
2015-12-09 14:46:59.018000,Salinity,1.0317,1.023,1.027
2015-12-09 14:46:59.018000,Temperature,76.64,72,78
2015-12-09 15:11:59.115000,pH,8.01,8.1,8.4
2015-12-09 15:11:59.115000,Salinity,1.0317,1.023,1.027
2015-12-09 15:11:59.115000,Temperature,76.55,72,78
2015-12-09 16:21:59.121000,pH,8,8.1,8.4
2015-12-09 16:21:59.121000,Salinity,1.0317,1.023,1.027
2015-12-09 16:21:59.121000,Temperature,76.44,72,78
2015-12-09 17:06:59.253000,pH,8.02,8.1,8.4
2015-12-09 17:06:59.253000,Salinity,1.0317,1.023,1.027
2015-12-09 17:06:59.253000,Temperature,76.4,72,78
